GEO_ID_2,GEO_ID,STATE,HH_TOT,HH_FAMILY,HH_FAM_2P,HH_FAM_3P,HH_FAM_4P,HH_FAM_5P,HH_FAM_6P,HH_FAM_7P,HH_NON_FAMILY,HH_NON_FAM_1P,HH_NON_FAM_2P,HH_NON_FAM_3P,HH_NON_FAM_4P,HH_NON_FAM_5P,HH_NON_FAM_6P,HH_NON_FAM_7P
1,0400000US01,Alabama,1848325,1238967,585475,294565,222034,90717,29968,16208,609358,532123,63279,9380,3696,565,220,95
2,0400000US02,Alaska,250969,167562,68967,38519,30866,15505,6940,6765,83407,64538,16003,2066,614,146,25,15
3,0400000US04,Arizona,2412212,1581380,715778,319290,281757,149475,68816,46264,830832,659485,143083,18971,6958,1700,374,261
4,0400000US05,Arkansas,1138025,759924,361811,171452,135505,57981,21357,11818,378101,320642,47607,6498,2559,634,130,31
5,0400000US06,California,12717801,8732734,3104911,1976996,1870233,992141,443639,344814,3985067,3062512,717992,126956,50812,16394,5821,4580
6,0400000US08,Colorado,2024468,1300972,579752,285483,256205,111841,42897,24794,723496,560467,131910,21664,7178,1632,348,297
7,0400000US09,Connecticut,1352583,895639,382265,212802,188907,77219,23396,11050,456944,378145,67024,7466,3051,967,179,112
8,0400000US10,Delaware,344022,230307,104329,52647,42782,19500,7062,3987,113715,91710,17806,2693,1061,292,142,11
9,0400000US11,District of Columbia,273390,118737,56041,28543,19723,8789,3442,2199,154653,119803,27096,4664,1855,758,322,155
10,0400000US12,Florida,7300494,4699888,2273225,1044773,825932,355361,128473,72124,2600606,2119042,408131,50495,16381,4228,1493,836
11,0400000US13,Georgia,3574362,2423535,1012289,574938,485401,219945,82270,48692,1150827,956577,158703,23554,8978,2278,423,314
12,0400000US15,Hawaii,450572,313612,117978,71556,60073,30371,15620,18014,136960,106168,24190,4383,1504,425,163,127
13,0400000US16,Idaho,589320,406168,184036,79925,71387,40345,18235,12240,183152,147698,28110,4751,1494,582,452,65
14,0400000US17,Illinois,4786388,3124683,1300751,703126,634119,304163,112405,70119,1661705,1383686,230270,31657,12134,2728,785,445
15,0400000US18,Indiana,2501937,1655043,748965,369233,309990,143545,52897,30413,846894,701587,116929,18051,7409,2214,475,229
16,0400000US19,Iowa,1236409,797481,392302,160041,141601,67504,24354,11679,438928,356751,65331,10430,5164,950,223,79
17,0400000US20,Kansas,1113472,729468,334759,153497,136468,65323,25551,13870,384004,319955,51475,7887,3514,753,231,189
18,0400000US21,Kentucky,1708499,1136718,527488,269016,207759,87222,29046,16187,571781,480564,74832,10246,4464,1176,371,128
19,0400000US22,Louisiana,1727919,1128232,494382,278829,209676,93304,33509,18532,599687,507460,75770,11635,3421,947,265,189
20,0400000US23,Maine,553284,347579,179984,75895,60063,20375,7727,3535,205705,161447,37930,4142,1734,340,15,97
21,0400000US24,Maryland,2166389,1450292,591758,350604,296632,130908,49278,31112,716097,585309,105373,16444,6122,1926,548,375
22,0400000US25,Massachusetts,2549721,1620917,676140,392935,348593,137836,44133,21280,928804,732066,157093,26060,10178,2318,810,279
23,0400000US26,Michigan,3841148,2497834,1147393,549203,469116,211048,76831,44243,1343314,1115974,185644,24517,12580,2652,1309,638
24,0400000US27,Minnesota,2124745,1376549,637719,285557,264859,120377,42595,25442,748196,600804,118558,17106,8380,2327,668,353
25,0400000US28,Mississippi,1096593,749121,332108,177424,139366,63994,23068,13161,347472,302021,36946,5490,2500,351,93,71
26,0400000US29,Missouri,2364688,1530006,713758,342244,280535,125328,42729,25412,834682,689714,120591,15838,6551,1429,394,165
27,0400000US30,Montana,409394,255470,134105,50136,40932,19017,6860,4420,153924,124862,23264,3748,1489,495,48,18
28,0400000US31,Nebraska,736613,476627,223938,94448,87974,44381,16555,9331,259986,213141,38387,5407,2306,477,199,69
29,0400000US32,Nevada,1016709,651954,274471,145505,124118,62630,28182,17048,364755,285494,66778,8609,2662,773,290,149
30,0400000US33,New Hampshire,520251,347378,164091,79674,67249,25399,7177,3788,172873,132805,34018,4403,1268,327,42,10
31,0400000US34,New Jersey,3189486,2211531,843649,545371,494468,211706,72050,44287,977955,820987,129929,16696,7102,1987,806,448
32,0400000US35,New Mexico,763603,495031,224729,107884,88598,44288,18508,11024,268572,223689,39446,3901,1239,185,64,48
33,0400000US36,New York,7262279,4625960,1846657,1108752,945259,432557,167734,125001,2636319,2155282,389559,61979,20129,6135,1884,1351
34,0400000US37,North Carolina,3775581,2497993,1160652,581608,461192,191068,67248,36225,1277588,1059062,178175,27536,10209,1944,396,266
35,0400000US38,North Dakota,299638,181864,89737,37944,31923,14529,4908,2823,117774,92487,19682,4160,1098,299,29,19
36,0400000US39,Ohio,4585084,2937598,1359319,666333,541534,238584,85073,46755,1647486,1375707,227672,28812,10349,3131,1054,761
37,0400000US40,Oklahoma,1455321,966009,445076,212679,174876,84348,31148,17882,489312,409587,64461,9759,4341,766,263,135
38,0400000US41,Oregon,1533430,971791,457340,209576,176977,78871,30048,18979,561639,427884,106170,17457,7132,1975,804,217
39,0400000US42,Pennsylvania,4958859,3202874,1472201,743117,597365,251381,87904,50906,1755985,1463296,242437,31876,12923,3559,1112,782
40,0400000US44,Rhode Island,410602,257540,113146,62533,52507,20329,5903,3122,153062,124074,23419,3698,1441,329,82,19
41,0400000US45,South Carolina,1815094,1212645,573833,285435,216210,91890,29606,15671,602449,507973,76104,12107,5162,759,207,137
42,0400000US46,South Dakota,330858,212994,106288,40915,35441,18866,7061,4423,117864,97539,16639,2291,926,268,80,121
43,0400000US47,Tennessee,2504556,1665445,773808,391453,300137,127264,46440,26343,839111,704908,110885,15779,5781,1387,264,107
44,0400000US48,Texas,9149196,6364104,2465007,1451282,1311991,686988,273227,175609,2785092,2287358,410789,57146,22473,5148,1391,787
45,0400000US49,Utah,906292,680007,242419,129972,129763,88943,52964,35946,226285,176971,32998,8804,5245,1145,871,251
46,0400000US50,Vermont,257167,159457,81151,34570,28849,9889,3336,1662,97710,74021,19594,2660,926,409,100,0
47,0400000US51,Virginia,3062783,2054416,894558,485411,405019,173979,61969,33480,1008367,815144,152691,25958,11236,2105,777,456
48,0400000US53,Washington,2668912,1722188,770443,382179,332141,142529,59474,35422,946724,735202,170678,25777,9633,3771,1000,663
49,0400000US54,West Virginia,740890,479803,241233,110911,78647,33014,10596,5402,261087,222024,32578,4324,1550,334,190,87
50,0400000US55,Wisconsin,2299107,1469290,710918,308856,270065,117140,39825,22486,829817,666869,133705,18687,7019,2503,683,351
51,0400000US56,Wyoming,226865,147229,73531,30054,24723,11504,4839,2578,79636,63516,13188,1885,891,76,80,0
