Hhsize, Age, Zero_Child,One_Child,Two_Child,Three_Child,Four_Child,Five_Child,Six_Child,Seven_Child,Eight_Child
One,Under65,12331,0,0,0,0,0,0,0,0
One,Over65,11367,0,0,0,0,0,0,0,0
Two,Under65,15871,16337,0,0,0,0,0,0,0
Two,Over65,14326,16275,0,0,0,0,0,0,0
Three,All,18540,19078,19096,0,0,0,0,0,0
Four,All,24447,24847,24036,24120,0,0,0,0,0
Five,All,29482,29911,28995,28286,27853,0,0,0,0
Six,All,33909,34044,33342,32670,31670,31078,0,0,0
Seven,All,39017,39260,38421,37835,36745,35473,34077,0,0
Eight,All,43637,44023,43230,42536,41551,40300,38999,38668,0
Nine,All,52493,52747,52046,51457,50490,49159,47956,47658,45822
